Name,Company,Location,Technologies,Salary Low,Salary High,Currency
 Marketing (Data) Analyst ,Codete,Remote,Data  SQL  Python  R,7000,12500,PLN
 Senior Data Analyst ,Infogain Technologies Sp. z o.o.,Remote,Data  SQL  R programming  Data management,21840,26880,PLN
 Data Analyst ,Sunscrapers,Remote,Data  SQL  Data analysis  Data visualization,20000,25000,PLN
 Data Analyst /Product Analyst ,apreel Sp. z o.o.,Warsaw,Data  SQL  Cloud computing  UX,23520,28560,PLN
 Mid SQL Data Analyst ,Ośrodek Przetwarzania Informacji - Państwowy Instytut Badawczy,Warszawa,Data  SQL  pandas  Python,8000,10000,PLN
 Senior Technical Project Manager ,RTB House,Remote,Project Manager  Data analyst  Project management  Web technologies,27000,35000,PLN
 Data Engineer in Microsoft Azure Cloud ,Avanade Poland,Remote,Data  Data analyst  Python  Azure,19320,29400,PLN
 Data Analyst ,Schneider Electric,Warsaw,Data  Python  SQL  Tableau,,,
 Data Analytics Manager - Operation Department ,T-Mobile Polska,Warszawa,Data  Data analyst  Data analysis  Relational database,,,
 .Net with PowerBI Engineer ,Capco Poland,Remote,Data  Data analyst  .NET  Power Query/Power BI,,,
 Python Developer - Digital Operation ,T-Mobile Polska,Warszawa,Data  Python  SQL  CI/CD,,,
 Senior Data Engineer - Remote ,Link Group,Remote,Data  Azure  Python  SQL,20000,28000,PLN
 Senior BI Data Engineer ,1dea,Remote,Data  SQL  BI  DWH,28560,35280,PLN
 Ms Data Engineer Azure Data Factory ,1dea,Remote,Data  Python  Azure Data Factory  SQL,27720,31920,PLN
 Senior Technical Project Manager ,Crestt,Remote,Project Manager  Switches  LAN  WAN,18480,23520,PLN
 Senior PL/SQL Developer ,AVENGA,Warszawa,Data  SQL  Oracle  Jira,18480,23520,PLN
 Data Engineer with Cloud ,GFT Poland,Poznań,Data  Python  Dataproc for Spark  Dataflow for Apache Beam,19320,26376,PLN
 Remote Senior Data Engineer ,Varwise,Remote,Data  Scala  Spark  AWS,7500,10000,USD
 Data Infrastructure Lead ,IPF Digital,Warszawa,Data  AWS  SQL  Python,,,
 Data Engineer ,The Codest,Remote,Data  ETL  AWS  SQL,17000,23000,PLN
 Senior Data Engineer ,ING BANK ŚLĄSKI SPÓŁKA AKCYJNA,Warszawa,Data  Python  PySpark  pandas,14000,28000,PLN
 Ekspert/Ekspertka Data Science ,UNIQA Polska,Warszawa,Data  SQL  AI  OSI,,,
 Senior Data Engineer / Data Architect - Remote ,Link Group,Remote,Data  Python  Big data  Hadoop,28560,33600,PLN
 Staff Data Steward ,Digital Hub Warsaw at Bayer,Warsaw,Data  SQL  NoSQL  Python,18000,28000,PLN
 Senior Technical Project Manager ,Tangent,Poznań,Project Manager  Project management  Jira  Confluence,18000,26000,PLN
 Oracle/SQL Developer ,T-Mobile Polska,Warszawa,Data  SQL  Oracle  MSSQL,,,
 Senior Data Solution Architect/ Data Architect ,Altimetrik Poland,Remote,Data  Python  ETL  Azure,27000,37000,PLN
 Azure Data Engineer - Remote ,Link Group,Remote,Data  Azure  CI  Data Lake,18500,24500,PLN
 Lead Data Engineer ,Sunscrapers,Remote,Data  Python  SQL  Data warehouses,30000,45000,PLN
 Data Engineer ,Inter Cars S.A.,Remote,Data  Scala  Data science  Spark,21000,27000,PLN
 Database Administrator ,Amelco UK Ltd.,Warsaw,Data  SQL  PostgreSQL  K8s,18900,25200,PLN
 Mid Data Modeller - Remote ,Link Group,Remote,Data  SQL  English,20160,25200,PLN
 Senior Data Engineer ,Avenga,Remote,Data  Kafka  Degree  MySQL,21840,26880,PLN
 Senior Data Scientist ,Adform Sp. z o.o.,Warszawa,Data  Machine learning  Analytical skills  Python,22400,28823,PLN
 Technical Project Manager ,Devire,Tczew,Project Manager  Communication skills  Project management  Polish,17000,20000,PLN
 Data Engineer ,ITDS,Warsaw,Data  SQL  Data engineering  Python,21000,24360,PLN
 Data Scientist  ,Avenga,Remote,Data  Computer vision  NLP  SQL,25200,28560,PLN
 Senior Data Engineer GCP - Remote  ,Link Group,Remote,Data  SQL  GCP  BigQuery,21840,30240,PLN
